"CONTENTS_SEQ","CONTENTS_TITLE","CONTENTS_SYNOPSIS","CONTENTS_GENRE","AGE_RATING","RELEASE_YEAR","RATING","POSTER_IMG","DIRECTOR","CAST","OTT"
"147","굿파트너","이혼이 천직인 스타변호사 차은경과 이혼은 처음인 신입변호사 한유리의 차갑고 뜨거운 휴먼 법정 오피스 드라마","드라마","15세 이상 시청가","2024","3.7","https://file.kinolights.com/m/content_poster/202406/13/f053a4af-1e1f-4c59-b672-9f1f62450b32.webp","김가람","장나라, 남지현","넷플릭스"
"148","귀공자","필리핀에서 불법 경기장을 전전하며 병든 어머니와 살아가는 복싱 선수 마르코. 어머니의 수술비 마련을 위해 평생 본 적 없는 아버지를 만나러 한국으로 향하던 그의 앞에 정체불명의 남자 귀공자가 나타나 그를 추격하기 시작한다. 마르코 주위를 쑥대밭으로 만들며 숨통을 조여오는 귀공자를 필두로, 마르코를 집요하게 추격하는 재벌 2세 한이사, 필리핀에 이어 한국에서 우연히 마르코와 재회한 미스터리한 인물 윤주까지. 각기 다른 목적을 가진 이들은 단 하나의 타겟을 쫓아 모여들고, 그 무엇도 예측할 수 없는 혼란과 광기 속 마르코는 충격적인 진실을 마주하게 되는데…","드라마, 액션","청소년 관람불가","2022","3.1","https://file.kinolights.com/m/content_poster/202307/12/0273377d-0199-4130-8e7a-2c2d8bdf8e9b.webp","박훈정","김선호, 강태주","쿠팡플레이"
"149","귀를 기울이면","동화 작가를 꿈꾸는 시즈쿠. 세계적인 첼리스트를 꿈꾸는 세이지. 중학교 시절, 두 사람은 가슴 속에 품고 있던 꿈을 이루기 위해 다시 만날 것을 약속하며 각자 바쁜 하루하루를 보낸다. 그리고 10년 후, 시즈쿠는 일본에서 출판 에디터로, 세이지는 이탈리아에서 전도유망한 첼리스트로 서로의 길을 응원하며 꿈을 향해 나아가려 한다. 그러나 현실에 지친 시즈쿠는 일과 꿈 사이 선택의 기로에 서게 되고 정답을 찾기 위해 세이지가 있는 이탈리아로 떠나게 되는데…","드라마, 로맨스","전체 관람가","2022","2.2","https://file.kinolights.com/m/content_poster/202307/12/46073bcc-4c76-429e-bf1d-8a796a07463a.webp","히라카와 유이치로","세이노 나나, 마츠자카 토리","넷플릭스, 왓챠"
"150","귀멸의 칼날: 나타구모산 편","탄지로와 네즈코, 젠이츠, 이노스케는 귀살대원들의 실종사건을 조사하기 위해 나타구모 산으로 향한다. 심상치 않은 기운의 나타구모 산에 도착한 탄지로 일행은 그곳에서 거미 줄에 의해 조종당하고 있는 귀살대원들과 싸우다 뿔뿔이 흩어지고 만다. 사실 그곳은 산 전체가 혈귀 거미 가족에 의해 통제되고 있었다! 게다가, 네즈코를 노리는 십이귀월의 등장으로 탄지로는 절체절명의 위기에 빠지게 되는데...","액션, 판타지, 애니메이션","15세 이상 관람가","2020","3.6","https://file.kinolights.com/m/content_poster/202307/12/4fe4390f-5de6-4f19-93cd-5a3b41114d50.webp","소토자키 하루오","하나에 나츠키, 키토 아카리","왓챠, 티빙"
"151","귀멸의 칼날: 남매의 연","혈귀의 습격으로 가족을 잃은 소년 탄지로. 유일하게 살아남은 여동생 네즈코마저 혈귀로 변해 버리고 마는데…
탄지로는 네즈코를 인간으로 되돌리기 위해, 그리고 가족을 죽인 혈귀를 심판하기 위해 귀살대의 길을 가기로 결의한다. 혹독한 훈련 끝에 귀살대 대원으로 거듭난 탄지로는 복수의 칼날을 들고 목숨 건 사투를 시작하는데…","액션, 판타지, 애니메이션","15세 이상 관람가","2019","3.4","https://file.kinolights.com/m/content_poster/202307/12/e3547da3-eb7d-465a-93a7-cd73e5f52585.webp","소토자키 하루오","하나에 나츠키, 키토 아카리","왓챠, 티빙"
"152","귀멸의 칼날: 도공 마을편","113년 만에 상현 혈귀가 죽자 분개한 무잔은 나머지 상현 혈귀들에게 또 다른 명령을 내린다! 한편, 규타로와의 전투 도중 검이 심하게 손상된 탄지로에게 하가네즈카는 대 격노하고,탄지로는 그 검을 만든 대장장이 하가네즈카 호타루에게 검이 어떻게 심하게 손상되었는지 설명하기 위해 도공 마을을 방문한다.","액션, 판타지, 애니메이션","19세 이상 시청가","2022","3.7","https://file.kinolights.com/m/content_poster/202307/12/04b9c7ad-32bc-41b6-bf6f-f1981a2bdafc.webp","소토자키 하루오","하나에 나츠키, 키토 아카리","넷플릭스, 왓챠, 티빙"
"153","귀멸의 칼날: 무한열차편","혈귀로 변한 여동생 네즈코를 인간으로 되돌릴 단서를 찾아 비밀조직 귀살대에 들어간 탄지로. 임무 수행을 위해 최강 검사 염주 렌고쿠와 무한 열차에 탑승한 그는 숨어있던 식인 혈귀와 마주한다.","액션, 판타지, 애니메이션","19세 이상 시청가","2021","4","https://file.kinolights.com/m/content_poster/202307/12/8af536cd-6893-4601-8931-80b079e8180a.webp","소토자키 하루오","히노 사토시, 하나에 나츠키","넷플릭스, 왓챠, 티빙"
"154","귀멸의 칼날: 주합회의·나비저택 편","탄지로와 네즈코는 귀살대 중에서도 최고의 계급인 지주들 앞으로 끌려간다. 탄지로의 죄명은 대율 위반- 특히, 혈귀인 네즈코를 죽이지 않고 동행한 혐의로 목숨을 잃을 위기에 처한다. 귀살대의 당주 우부야시키 카가야에 의해 위기를 넘긴 탄지로는 젠이츠, 이노스케와 함께 지난 나타구모 산에서의 전투 이후 입게 된 상처를 치유하기 위해 나비저택에 머물며 기능회복 훈련에 돌입한다. 한편, 나타구모 산의 일로 분노한 키부츠지 무잔은 하현들을 소집하는데…","액션, 판타지, 애니메이션","15세 이상 관람가","2020","3.3","https://file.kinolights.com/m/content_poster/202307/12/116a2008-f67e-4d2f-a16d-73cb663d777b.webp","소토자키 하루오","하나에 나츠키, 키토 아카리","티빙"
"155","귀멸의 칼날: 카마도 탄지로 입지 편","혈귀에게 몰살당한 가족을 본 탄지로. 혈귀로 변해버린 동생 네즈코를 인간으로 되돌리고 가족의 복수를 하기 위해 긴 여정을 시작한다.","액션, 판타지, 애니메이션","19세 이상 시청가","2019","3.8","https://file.kinolights.com/m/content_poster/202307/12/4331638b-da0d-4178-9ead-3305329b1380.webp","소토자키 하루오","하나에 나츠키, 키토 아카리","넷플릭스, 왓챠, 티빙"
"156","귀멸의 칼날: 합동 강화 훈련편","합동 강화 훈련으로――
귀살대 최강의 검사 《주》와 귀살대원들.
다가오는 키부츠지 무잔과의 결전에 대비하여 《합동 강화 훈련》 개막.
저마다의 생각을 가슴에 품고, 탄지로와 주들의 새로운 이야기가 막을 올린다.","액션, 애니메이션","19세 이상 시청가","2024","3.7","https://file.kinolights.com/m/content_poster/202403/10/269b840d-d000-4c3c-9895-9b33c761cad5.webp","소토자키 하루오","하나에 나츠키, 키토 아카리","넷플릭스, 왓챠, 티빙"
"157","귀멸의 칼날: 환락의 거리편","무한열차의 임무를 마친 탄지로 일행의 다음 행선지는? 귀살대 최고의 검사 ‘주‘의 한 사람 ‘음주' 우즈이 텐겐과 탄지로 일행의 새로운 싸움의 막이 열린다!","액션, 스릴러, 판타지, 애니메이션","19세 이상 시청가","2021","4","https://file.kinolights.com/m/content_poster/202307/12/d2c0b919-0980-484e-8755-2e9fdb19f0ae.webp","소토자키 하루오","하나에 나츠키, 키토 아카리","넷플릭스, 왓챠, 티빙"
"158","귀신이 산다","세방살이 삼대째 박필기 드디어 문패에 이름 석자 새기다! 3대를 이어온 셋방살이 설움에 '네 집을 가져'라는 아버지 유언을 인생목표로 사는 박필기. 낮에는 조선소 기사로 밤엔 대리운전으로 투잡스, 쓰리잡스를 뛰면서 결국 사회생활 10년만에 대출에 융자까지 보태 거제도 바닷가 이층집을 사는데 성공했으니... 이사 첫날 문패 박으며 온 동네 떠나가도록 울부짖었다! ""아버지...나 집 샀어요~~~ 엉엉~~"" 나보고 집을 나가라고? 여긴 우리집이거든... 넌 누구냐? 그러나 내 집을 마련했다는 기쁨도 잠시. 그런데, 부엌에 잘 꽂혀있던 식칼이 공중부양해 날라오고, 멀쩡했던 소파가 공격하질 않나, TV속 <주유소 습격사건>을 열연중이던 박영규가 필기를 노려보며 '살고 싶으면 이집에서 나가!!'라 윽박지르더니, <링>의 배두나처럼 TV밖으로 기어나오기까지... 이것이 무슨 귀신이 곡할 노릇! ""사람살려~~ 박필기 살려~~"" 이사 첫날... 그는 여관방 신세를 졌다. 하필이면... 왜? 우리집에 귀신이 사냐구~~~~~!! 경찰서로, 이웃에게로 귀신 곡할 사연을 호소해보지만... 필기만 몰랐던 그 집의 비밀이 있었으니 ""그 집에 귀신 살아요!!"" 재빨리 급매모드로 변신하지만 흥정은커녕 돈을 얹어줘도 안 산다니... 은행 이잣날은 다가오고 언제까지 제집 두고 여관방신세 질 수도 없고... 환장할 박필기, 마침내 귀신과의 전면전을 선포하는데...","코미디, 공포, 판타지","12세 이상 관람가","2004","2.5","https://file.kinolights.com/m/content_poster/202307/12/e4785ed0-7025-405e-8b7e-95e801f8ab2c.webp","김상진","차승원, 장서희","넷플릭스"
"159","귀접애","집에 깃든 미스터리한 존재, 그리고 피폐해져가는 여성을 그린 이야기","로맨스, 스릴러","청소년 관람불가","2024","0","https://file.kinolights.com/m/content_poster/202405/02/0f152669-b45b-42c3-b619-00ee433c1a62.webp","이정환","민도윤","티빙"
"160","귀향","1943년, 천진난만한 열네 살 정민은 영문도 모른 채 일본군 손에 이끌려 가족의 품을 떠난다. 정민은 함께 끌려온 영희, 그리고 수많은 아이들과 함께 기차에 실려 알 수 없는 곳으로 향한다. 제2차 세계대전, 차디찬 전장 한가운데 버려진 정민과 아이들... 그곳에서 그들을 맞이한 것은 일본군만 가득한 끔찍한 고통과 아픔의 현장이었다.","드라마","15세 이상 관람가","2015","2.8","https://file.kinolights.com/m/content_poster/202307/12/1e67df64-4d21-4446-ac06-0e4c83df32a1.webp","조정래","강하나, 최리","왓챠, 티빙"
"161","그 비스크 돌은 사랑을 한다","늘 친구들 사이에서 중심에 있는 인기 많은 미소녀 키타가와 마린. 반 친구인 고죠 와카나는 그녀를 ‘다른 세상에서 사는 인간’이라 생각했다. 장래에 히나 인형을 만드는 장인이 되고 싶은 와카나. 그런 그가 방과 후 피복실습실에서 작업을 하고 있는데,

갑자기 그곳에 나타난 사람은… 바로…?!","코미디, 로맨스, 애니메이션","19세 이상 시청가","2022","3.9","https://file.kinolights.com/m/content_poster/202307/12/bc34ef6f-c330-43f0-b226-2adfaa0f40ab.webp","시노하라 케이스케","이시게 쇼야, 스구타 히나","넷플릭스, 왓챠, 티빙"
"162","그 시절, 우리가 좋아했던 소녀","이제 막 17살이 된 나, 커징텅은 시도 때도 없이 서 있는 ‘발기’ 쉬보춘과 어떤 이야기건 꼭 등장하는 ‘뚱보’ 아허, 세상에서 자신이 가장 잘 생겼다고 생각하는 ‘머저리’ 라오차오, 재미 없는 유머로 여자들을 꼬시려는 ‘사타구니’ 랴오잉홍이라는 친구들이 있다. 고등학교에서도 같은 반이 된 친구들과의 유일한 공통점은 최고의 모범생 션자이를 좋아한다는 것! 어느 날, 커징텅은 여느 때처럼 교실에서 사고를 친 덕분에 션자이에게 특별 감시를 받게 되고 이를 계기로 모범생과 문제아 사이 백 만년만큼의 거리가 점점 좁혀지는 듯 했다. 하지만 마음과 달리 잘해보려는 일도 자꾸만 어긋나고, 커징텅과는 달리 친구들은 션자이의 사랑을 얻기 위해 아낌없이 표현하고 경쟁한다. 게다가 애써 한 고백에 션자이는 대답하지 않는다. 그리고 15년 후 다시 만난 션자이는…","드라마, 로맨스","15세 이상 관람가","2011","3.5","https://file.kinolights.com/m/content_poster/202307/12/92706ad8-7c90-4eea-a443-fe436cdffd64.webp","구파도","가진동, 천옌시","쿠팡플레이, 티빙"
"163","그 여자 작사 그 남자 작곡","재기를 꿈꾸며 작곡에 한창인 왕년의 팝스타. 공백이 너무 길었던 탓일까. 도통 악상이 떠오르지 않는다. 그때 혜성처럼 나타난 수다쟁이 아가씨. 입만 열면 주옥같은 가사를 내뱉는데. 둘이 함께라면 멋진 곡이 나올 것 같다!","드라마, 로맨스","12세 이상 관람가","2007","3.4","https://file.kinolights.com/m/content_poster/202401/24/34b29187-dde5-4382-acc0-318c033be0bf.webp","마크 로렌스","드류 베리모어, 휴 그랜트","쿠팡플레이"
"164","그 해 우리는","함께해서 더러웠고 다신 보지 말자!로 끝났어야 할 인연이 10년이 흘러 카메라 앞에 강제 소환 되어 펼쳐지는 청춘 다큐를 가장한 아찔한 로맨스 드라마","코미디, 로맨스","15세 이상 시청가","2021","4.1","https://file.kinolights.com/m/content_poster/202307/13/ffa9a8e3-ce3e-48a2-a517-08caa12fe9d8.webp","김윤진","김다미, 최우식","넷플릭스"
"165","그것: 두 번째 이야기","줄거리 : 27년마다 아이들이 사라지는 마을 데리에 '그것'이 다시 나타난다. 27년 전 '그것'에 맞섰던 '루저 클럽'아이들은 어른이 되어서 '그것'의 공포를 끝내기 위해 '그것'과의 대결을 준비한다.

1분 정보 : 스티븐 킹의 소설이자 TV 시리즈인 '그것'의 리메이크 영화. <그것>의 후속작이다. 어른이 된 루저 클럽의 시점과 어린이의 시점을 교차로 보여준다. 2편에는 정정훈 촬영감독이 아닌 체코 바레세 감독이 촬영을 맡았다. 자비에 돌란은 1편을 보고 출연 의사를 밝혔고 초반에 출연했다.","드라마, 스릴러, 공포","15세 이상 관람가","2019","3","https://file.kinolights.com/m/content_poster/202307/12/9cfba8d0-ce7a-4aca-a29f-9c503dba8e87.webp","안드레스 무시에티","빌 스카스가드, 제임스 맥어보이","넷플릭스, 쿠팡플레이"
"166","그것만이 내 세상","한때는 WBC 웰터급 동양 챔피언이었지만 지금은 오갈 데 없어진 한물간 전직 복서 조하. 우연히 17년 만에 헤어진 엄마 인숙과 재회하고, 숙식을 해결하기 위해 따라간 집에서 듣지도 보지도 못했던 뜻밖의 동생 진태와 마주한다. 난생처음 봤는데… 동생이라고 ?! 라면 끓이기, 게임도 최고로 잘하지만 무엇보다 피아노에 천재적 재능을 지닌 서번트증후군 진태. 조하는 입만 열면 “네~” 타령인 심상치 않은 동생을 보자 한숨부터 나온다. 하지만 캐나다로 가기 위한 경비를 마련하기 전까지만 꾹 참기로 결심한 조하는 결코 만만치 않은 불편한 동거생활을 하기 시작하는데…","드라마, 코미디","12세 이상 관람가","2017","3","https://file.kinolights.com/m/content_poster/202307/12/ebb196d0-fb87-488f-a91e-83662d48e0c8.webp","최성현","이병헌, 윤여정","넷플릭스, 왓챠, 쿠팡플레이, 티빙"
"167","그냥 사랑하는 사이","붕괴사고에서 극적으로 살아남은 두 남녀 이강두와 하문수. 그들은 큰 상처를 남긴 참사 이후 서로의 상처를 보듬어가며 자신들만의 방식으로 일상을 견뎌간다.","드라마","15세 이상 시청가","2017","3.9","https://file.kinolights.com/m/content_poster/202307/12/c05fff75-da44-459d-9805-c36c275b9e9f.webp","김진원","준호, 원진아","넷플릭스, 티빙"
"168","그녀","줄거리 : 다른 사람의 편지를 대신 써주는 대필 작가 테오도르는 아내와 별거 후 외롭고 공허한 삶을 살고 있다. 어느 날, 스스로 생각하고 느끼는 인공지능 사만다를 만나고 상처를 회복하기 시작한다.

1분 정보 : 제86회 아카데미 시상식 각본상을 수상한 영화다. 스파이크 존즈 감독이 직접 각본을 쓰고 연출했다. 스칼렛 요한슨은 사만다 목소리를 연기했고 목소리로만 등장한다.","드라마, 로맨스","15세 이상 관람가","2013","4","https://file.kinolights.com/m/content_poster/202307/12/11b2fa29-82e1-4bc5-b0be-1217d92f7fbb.webp","스파이크 존즈","호아킨 피닉스, 에이미 아담스","왓챠"
"169","그녀가 좋아하는 것은","각자 좋아하는 것을 숨기고 살아가는 고등학생 안도와 미우라. 같은 반 친구 정도로만 거리를 유지하고 있던 두 사람은 어느 날 우연히 서점의 한 코너에서 부딪히게 되고, 뜻밖에 미우라의 비밀을 공유하게 되며 급속도로 가까워진다. 학교에서뿐만 아니라, 사적인 시간들을 함께 보내는 나날들이 많아진 두 사람. 어느새 미우라는 안도에게 친구 이상의 감정을 느끼게 되고, 그에게 조심스럽게 자신의 마음을 전하는데…","드라마, 로맨스","15세 이상 관람가","2021","3.2","https://file.kinolights.com/m/content_poster/202307/12/e5b1193f-02e7-414b-ab3b-50262dd569af.webp","쿠사노 쇼고","카미오 후주, 야마다 안나","왓챠, 쿠팡플레이"
"170","그녀가 죽었다","고객이 맡긴 열쇠로 그 집에 들어가 남의 삶을 훔쳐보는 취미를 지닌 공인중개사 구정태. 편의점 소시지를 먹으며 비건 샐러드 사진을 포스팅하는 SNS 인플루언서 한소라에게 흥미를 느끼고 관찰하기 시작한다. 급기야 한소라의 집까지 드나들던 구정태는 어느 날, 그녀가 소파에 죽은 채 늘어져 있는 모습을 발견하게 된다. 그 후 그가 한소라 집에 들어간 것을 알고 있는 누군가가 협박을 시작하고, 사건을 맡은 강력반 형사 오영주의 수사망이 그를 향해 좁혀온다. 스스로 범인을 찾아야 하는 구정태는 한소라의 SNS를 통해 주변 인물들을 뒤지며 진범을 찾아 나서는데…","스릴러","15세 이상 관람가","2022","3.1","https://file.kinolights.com/m/content_poster/202409/13/180d4394-230c-4c8c-8ac8-9a1fa648ae5c.webp","김세휘","변요한, 신혜선","넷플릭스, 왓챠, 쿠팡플레이"
"171","그녀는 예뻤다","어릴 때는 뚱뚱했지만 꽃미남 엘리트가 된 남자 주인공과 과거 미소녀였지만 역변을 한 여자 주인공, 이 두 사람의 성장과 사랑을 그린 드라마","드라마, 코미디, 로맨스","15세 이상 시청가","2021","3.2","https://file.kinolights.com/m/content_poster/202307/24/d9066226-57df-4342-84a9-04c7db6b709b.webp","키노시타 타카오","나카지마 켄토, 코시바 후우카","왓챠, 티빙"
"172","그녀의 하얀 거짓말","고등학교 교사로 일하는 미스즈. 약자의 입장이 될 수밖에 없는 여자로 태어났다는 사실에 그녀는 불평등과 불합리함을 느끼고 있다. 그녀에게 이러한 의식을 심어준 장본인은 친구 미나코의 약혼자 하야토. 미스즈는 두 얼굴의 가면을 쓴 그를 증오하면서도 거부하지 못한다. 그러던 어느 날, 자신이 맡은 반 남학생 니이즈마와 일대일 상담을 하던 그녀는 니이즈마가 겪은 성적인 트라우마에 관해 이야기한다. 감정이 격해져 울분을 토해내고 마는데...","드라마","청소년 관람불가","2024","0","https://file.kinolights.com/m/content_poster/202412/12/05db07df-e443-4874-8c86-dfe974065958.webp","미키 코이치로","나오, 이가리 소야","왓챠"
"173","그놈은 흑염룡","온라인 게임 캐릭터로 만난 악연이 16년 후 직장 상사와 직원으로 재회한 갑을 반전 혐관 로맨스 드라마","코미디, 로맨스","15세 이상 시청가","2024","3.1","https://file.kinolights.com/m/content_poster/202501/14/d47671a5-57d0-44fb-8c6c-d3b8afef6e05.webp","이수현","문가영, 최현욱","티빙"
"174","그대들은 어떻게 살 것인가","화재로 어머니를 잃은 11살 소년 마히토는 아버지와 함께 어머니의 고향으로 간다. 어머니에 대한 그리움과 새로운 보금자리에 적응하느라 힘들어하던 마히토 앞에 정체를 알 수 없는 왜가리 한 마리가 나타나고, 저택에서 일하는 일곱 할멈으로부터 왜가리가 살고 있는 탑에 대한 신비로운 이야기를 듣게 된다. 그러던 어느 날, 마히토는 사라져버린 새엄마 나츠코를 찾기 위해 탑으로 들어가고, 왜가리가 안내하는 대로 이세계의 문을 통과하는데…!","드라마, 판타지, 애니메이션","전체 관람가","2023","3.4","https://file.kinolights.com/m/content_poster/202309/21/df40228d-63f0-4599-a3fe-246fe09cc75d.webp","미야자키 하야오","소마 산토키, 아이묭","넷플릭스"
"175","그래비티","지구로부터 600km, 소리도 산소도 없다. 우주에서의 생존은 불가능하다. 허블 우주망원경을 수리하기 위해 우주를 탐사하던 스톤 박사는 폭파된 인공위성의 잔해와 부딪히면서 그곳에 홀로 남겨지는데…

제86회 미국 아카데미 시상식 감독상 수상","드라마, 스릴러","12세 이상 관람가","2013","4.2","https://file.kinolights.com/m/content_poster/202307/12/81fb63b7-d2f0-4d67-90ee-3c94fa28a010.webp","알폰소 쿠아론","산드라 블록, 조지 클루니","쿠팡플레이"
"176","그랜드 부다페스트 호텔","줄거리 : 1927년 세계대전 어느 날, 마담 D. 가 의문의 살인을 당한다. 용의자로 그녀의 연인 구스타브가 지목되고 구스타브는 누명을 벗기 위해 로비 보이 제로에게 도움을 청한다.

1분 정보 : <문라이즈 킹덤>, <판타스틱 Mr. 폭스>의 웨스 앤더슨 감독이 연출한 영화다. 2014년 베를린 영화제의 개막작이자 은곰상(심사위원대상) 수상작이며, 제87회 미국 아카데미 시상식 미술상, 분장상, 제72회 골든 글로브 시상식 작품상을 수상했다. 카메라 기법과 화면비가 특이한 작품이다.","코미디","15세 이상 관람가","2014","4","https://file.kinolights.com/m/content_poster/202307/12/578cc0f5-f698-4673-a924-def268b112cf.webp","웨스 앤더슨","랄프 파인즈, 토니 레볼로리","쿠팡플레이"
"177","그렇게 사건 현장이 되어 버렸다 시즌 1","132개의 방. 157명의 용의자. 하나의 시신. 이상하기 짝이 없는 형사. 재앙이 된 공식 만찬. 전 세계에서 가장 유명한 대저택인 백악관을 배경으로, 그 내부 곳곳에서 일하는 다양한 인간 군상의 이야기를 그린 스크루볼 추리물","드라마, 코미디","15세 이상 시청가","2025","3.5","https://file.kinolights.com/m/content_poster/202501/16/2fb52530-416a-46e2-94c0-fe39452f69c3.webp","폴 윌리엄 데이비스","우조 압두바, 에드위나 파인드리","넷플릭스"
"178","그렇게 아버지가 된다","자신을 닮은 똑똑한 아들, 그리고 사랑스러운 아내와 함께 만족스러운 삶을 누리고 있는 성공한 비즈니스맨 료타는 어느 날 병원으로부터 한 통의 전화를 받는다. 6년 간 키운 아들이 자신의 친자가 아니고 병원에서 바뀐 아이라는 것. 료타는 삶의 방식이 너무나도 다른 친자의 가족들을 만나고 자신과 아들의 관계를 돌아보면서 고민과 갈등에 빠지게 되는데…","드라마","전체 관람가","2013","4.1","https://file.kinolights.com/m/content_poster/202307/12/27c2aad9-8ef1-47a9-9a31-e99225e437a2.webp","고레에다 히로카즈","후쿠야마 마사하루, 오노 마치코","넷플릭스, 왓챠"
"179","그레이의 50가지 그림자","줄거리 : 아픈 친구를 대신해 매력적인 CEO 크리스찬 그레이의 인터뷰를 하게 된 아나스타샤는 그의 매력에 빠지게 된다. 완벽한 그레이의 숨겨진 비밀을 알게 된 아나스타샤는 거부할 수 없는 본능에 눈을 뜨게 된다.

1분 정보 : E. L. 제임스의 동명 소설을 원작으로 하고 있다. 제2의 트와일라잇이라는 평을 받고 있다. 영화의 OST는 흥행하여 빌보드 차트 2위까지 진입하기도 했다. 제36회 골든 라즈베리 어워드에 6개 부분 후보에 올랐다.","드라마, 로맨스, 스릴러","청소년 관람불가","2015","1.9","https://file.kinolights.com/m/content_poster/202307/12/7a897763-a065-4e03-83df-dc4645ad75c5.webp","샘 테일러 존슨","제이미 도넌, 다코타 존슨","넷플릭스, 왓챠, 쿠팡플레이"
"180","그레이트 뷰티","40여 년 전 소설 한 권을 끝으로 더 이상 책을 쓰지 못하는 젭은 로마 1%의 삶을 누리는 셀러브리티이다. 하지만 어떤 화려한 파티와 예술도 그의 마음을 울리지 못하고, 65번 째 생일파티가 지난 어느 날 첫사랑의 부고 소식을 들은 후 가장 아름다웠던 기억을 반추하기 시작한다.","드라마, 코미디","청소년 관람불가","2013","3.4","https://file.kinolights.com/m/content_poster/202307/12/f874227f-316f-4039-95a4-7a4e4e65bd3a.webp","파올로 소렌티노","토니 세르빌로, 사브리나 페릴리","티빙"
"181","그레이하운드","함장 어니스트 크라우스(톰 행크스)는 수 천명의 군인과 방대한 양의 군사 물자를 실은 37척의 호송 선단을 이끌고 대서양을 횡단해야 하는 위험천만한 임무를 맡았다. 제2차 세계 대전의 실화를 바탕으로 한 영화.","드라마","전체 관람가","2019","3.5","https://file.kinolights.com/m/content_poster/202307/12/b021ab61-f42d-4f74-8e50-791d8ed60b28.webp","아론 슈나이더","톰 행크스, 엘리자베스 슈","티빙"
"182","그리고, 살아간다","세 살 때 교통사고를 부모를 잃은 토코는 모리오카에서 이발소를 운영하는 큰아버지와 함께 살아간다. 배우를 꿈꾸면 도쿄에서 개최되는 오디션 장소로 향하지만, 2011년 3월 11일 동일본 대지진이 발생하고 만다. 그 후 카페에서 함께 일하던 한국인 한유리와 함께 재해지 봉사 활동에 참여하게 된 토코. 그곳에서 학생 자원봉사 단체를 운영하는 대학생 키요타카를 만나게 된다. 미소 뒤에 가혹한 운명을 짊어진 채 살아가는 키요타카를 보며 토코는 알 수 없는 동질감과 위화감을 느낀다. 그리고, 어느새 두 사람은 특별한 감정을 가지게 되는데...","드라마, 로맨스","12세 이상 관람가","2019","2.9","https://file.kinolights.com/m/content_poster/202307/17/9b68ceb1-9a5c-4c7d-91b3-6ff917d08b5c.webp","츠키카와 쇼","아리무라 카스미, 사카구치 켄타로","왓챠"
"183","그린 나이트","크리스마스 이브, 아서왕과 원탁의 기사들 앞에 나타난 녹색 기사, ˝가장 용맹한 자, 나의 목을 내리치면 명예와 재물을 주겠다˝고 제안한다. 단, 1년 후 녹색 예배당에 찾아와 똑같이 자신의 도끼날을 받는다는 조건으로. 아서왕의 조카 가웨인이 도전에 응하고 마침내 1년 후, 5가지 고난의 관문을 거치는 여정을 시작하는데…","드라마, 공포, 판타지","15세 이상 관람가","2021","3.8","https://file.kinolights.com/m/content_poster/202307/12/157243e3-0065-4406-a09f-a07893b3225b.webp","데이빗 로워리","아나이스 리조, 데브 파텔","왓챠, 쿠팡플레이, 티빙"
"184","그린 북","1962년 미국, 입담과 주먹만 믿고 살아가던 토니 발레롱가는 교양과 우아함 그 자체인 천재 피아니스트 돈 셜리 박사의 운전기사 면접을 보게 된다. 백악관에도 초청되는 등 미국 전역에서 콘서트 요청을 받으며 명성을 떨치고 있는 돈 셜리는 위험하기로 소문난 미국 남부 투어 공연을 떠나기로 결심하고, 투어 기간 동안 자신의 보디가드 겸 운전기사로 토니를 고용한다. 거친 인생을 살아온 토니 발레롱가와 교양과 기품을 지키며 살아온 돈 셜리 박사. 생각, 행동, 말투, 취향까지 달라도 너무 다른 두 사람은 그들을 위한 여행안내서 ‘그린북’에 의존해 특별한 남부 투어를 시작하는데…","드라마, 코미디","12세 이상 관람가","2018","4","https://file.kinolights.com/m/content_poster/202307/12/2a71398d-42bc-4f0b-9b2c-0558d21eae98.webp","피터 패럴리","비고 모텐슨, 마허샬라 알리","왓챠, 티빙"
"185","그린 인페르노","무엇을 상상하던 그 이상!
이전의 모든 공포는 잊혀질 것이다!

무차별적 벌목과 소수부족의 위협을 막기 위해 정글로 떠난 일행들. 소기의 목적을 달성하는 듯 했으나 비행기는 기체 이상으로 지상으로 곤두박질치고.. 살아남았다는 안도감도 잠시… 그들에게 다가온 한 부족. 이제껏 상상한적도 없는 공포가 그들을 기다리고 있는데…","공포","청소년 관람불가","2013","2.4","https://file.kinolights.com/m/content_poster/202307/12/6c3c38b7-c2eb-482c-98ee-bf7b7288373d.webp","일라이 로스","로렌자 이조, 에이리얼 레비","왓챠, 쿠팡플레이"
"186","그린랜드","혜성의 지구 충돌 속보를 지켜보던 존과 가족들. 미 항공우주국(NASA)의 예측과 달리 해상으로 떨어졌어야 할 파편은 캘리포니아를 비롯해 세계 대도시로 추락해 세계는 순식간에 혼돈에 빠진다. 지구의 3/4을 날려버릴 초대형 혜성 추락까지 남은 시간은 단 48시간 존과 가족은 지구의 유일한 안전 대피소인 ‘그린란드’의 벙커로 향하는데..","액션, 스릴러","12세 이상 관람가","2020","2.8","https://file.kinolights.com/m/content_poster/202307/12/40726ea9-8baa-4017-83ad-583c315ad22e.webp","릭 로먼 워","제라드 버틀러, 모레나 바카린","넷플릭스, 왓챠, 티빙"
